SESSIONKEY,USERID,AGENTLOCATIONID,SESSIONSTARTDATE,LASTTXNDATE,SESSIONDATELOCAL,FUNCTIONID,LOGINKEY,REMOTEADDRESS,TXNREFNO,SESSIONSTATUS,SESSIONDATELOCALLASTACCSSED,OTPNO
of18313095849403,10005amalt,784101,09/11/18 05:58,09/11/18 05:58,09/11/18 09:58,7006,1813635102213660,10.45.0.129, ,1,09/11/18 09:58,
oo18313095928902,10005amalt,784101,09/11/18 05:59,09/11/18 05:59,09/11/18 09:59,7006,1813635102213660,10.45.0.129, ,1,09/11/18 09:59,
xl18313100108574,10005amalt,784101,09/11/18 06:01,09/11/18 06:01,09/11/18 10:01,7006,1813635102213660,10.45.0.129, ,1,09/11/18 10:01,
ob18285023533688,10005bibins,784101,12/10/18 10:35,12/10/18 10:35,12/10/18 14:35,7006,1885262629618760,10.45.0.151, ,1,12/10/18 14:35,
xp18285023606060,10005bibins,784101,12/10/18 10:36,12/10/18 10:36,12/10/18 14:36,7006,1885262629618760,10.45.0.151, ,1,12/10/18 14:36,
tc18283020620495,10005amalt,784101,10/10/18 10:06,10/10/18 10:06,10/10/18 14:06,7006,188350199444926,10.45.0.210, ,1,10/10/18 14:06,
ug18283022037510,10005amalt,784101,10/10/18 10:20,10/10/18 10:20,10/10/18 14:20,7006,1883320321046120,10.45.0.210, ,1,10/10/18 14:20,
jm18283022052198,10005amalt,784101,10/10/18 10:20,10/10/18 10:20,10/10/18 14:20,7006,1883320321046120,10.45.0.210, ,1,10/10/18 14:20,
tr18283022107782,10005amalt,784101,10/10/18 10:21,10/10/18 10:21,10/10/18 14:21,7006,1883320321046120,10.45.0.210, ,1,10/10/18 14:21,
cd18313100237936,10005amalt,784101,09/11/18 06:02,09/11/18 06:02,09/11/18 10:02,7006,1813635102213660,10.45.0.129, ,1,09/11/18 10:02,
ci18313100408782,10005amalt,784101,09/11/18 06:04,09/11/18 06:04,09/11/18 10:04,7006,1813635102213660,10.45.0.129, ,1,09/11/18 10:04,
lj18313100422993,10005amalt,784101,09/11/18 06:04,09/11/18 06:04,09/11/18 10:04,7006,1813635102213660,10.45.0.129, ,1,09/11/18 10:04,
pn18313100432895,10005amalt,784101,09/11/18 06:04,09/11/18 06:04,09/11/18 10:04,7006,1813635102213660,10.45.0.129, ,1,09/11/18 10:04,
uw18313100542272,10005amalt,784101,09/11/18 06:05,09/11/18 06:05,09/11/18 10:05,7006,1813635102213660,10.45.0.129, ,1,09/11/18 10:05,
gm18313100612615,10005amalt,784101,09/11/18 06:06,09/11/18 06:06,09/11/18 10:06,7006,1813635102213660,10.45.0.129, ,1,09/11/18 10:06,
sk18313100642269,10005amalt,784101,09/11/18 06:06,09/11/18 06:06,09/11/18 10:06,7006,1813635102213660,10.45.0.129, ,1,09/11/18 10:06,
ub18313100711160,10005amalt,784101,09/11/18 06:07,09/11/18 06:07,09/11/18 10:07,7006,1813635102213660,10.45.0.129, ,1,09/11/18 10:07,
lu18313100829287,10005amalt,784101,09/11/18 06:08,09/11/18 06:08,09/11/18 10:08,7006,1813635102213660,10.45.0.129, ,1,09/11/18 10:08,
yb18313100848951,10005amalt,784101,09/11/18 06:08,09/11/18 06:08,09/11/18 10:08,7006,1813635102213660,10.45.0.129, ,1,09/11/18 10:08,
rb18313101017493,10005amalt,784101,09/11/18 06:10,09/11/18 06:10,09/11/18 10:10,7006,1813635102213660,10.45.0.129, ,1,09/11/18 10:10,
